time/time_elapsed,time/fps,time/total_timesteps,time/episodes,eval/mean_ep_length,eval/mean_reward,train/critic_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/learning_rate,train/actor_loss
,,6300,,9.0,-6.449181,74.23095703125,-4.49592399597168,3299,0.7137457728385925,9.936892901486119e-05,-32.93609619140625
39,161,6313,884,,,62.35131072998047,-4.478775501251221,3312,0.712823748588562,9.936763072489958e-05,-35.46747970581055
39,160,6349,888,,,73.33006286621094,-4.537639617919922,3348,0.7102775573730469,9.936403554891657e-05,-33.160858154296875
39,160,6385,892,,,44.82093811035156,-4.619228363037109,3384,0.7077376246452332,9.936044050300901e-05,-33.676170349121094
,,6400,,7.4,-4.7788257000000005,83.15957641601562,-4.612454414367676,3399,0.7066811323165894,9.935894260560341e-05,-33.23141860961914
40,159,6413,896,,,51.63803482055664,-4.63338565826416,3412,0.7057673335075378,9.935764444611773e-05,-33.11397933959961
40,159,6441,900,,,59.91770935058594,-4.651098251342773,3440,0.7038038372993469,9.935484846790902e-05,-33.9305419921875
40,158,6477,904,,,61.492919921875,-4.71488618850708,3476,0.7012898921966553,9.935125375439516e-05,-32.67588424682617
,,6500,,5.8,-3.7025586000000006,81.34587097167969,-4.732184886932373,3499,0.6996889114379883,9.934895719996287e-05,-33.35802459716797
41,158,6513,908,,,50.40425109863281,-4.7639336585998535,3512,0.6987855434417725,9.934765917094002e-05,-33.35710144042969
41,157,6549,912,,,50.279502868652344,-4.791234970092773,3548,0.6962891221046448,9.934406471753891e-05,-32.55767822265625
41,157,6585,916,,,48.15705490112305,-4.852978706359863,3584,0.6938009858131409,9.934047039418712e-05,-33.29947280883789
,,6600,,8.2,-5.7488418,52.18110656738281,-4.872280597686768,3599,0.6927675008773804,9.93389727978387e-05,-32.231258392333984
42,156,6621,920,,,55.95921325683594,-4.863842964172363,3620,0.6913222074508667,9.933687620087993e-05,-31.882530212402344
42,155,6657,924,,,58.491302490234375,-4.917829513549805,3656,0.6888512372970581,9.933328213761266e-05,-32.711509704589844
43,155,6693,928,,,53.523406982421875,-4.980813503265381,3692,0.6863887906074524,9.932968820438059e-05,-31.25096893310547
,,6700,,8.2,-6.0874461,40.971954345703125,-4.989255905151367,3699,0.6859103441238403,9.932898939913004e-05,-32.620147705078125
43,154,6721,932,,,47.246192932128906,-5.045992851257324,3720,0.6844795346260071,9.932689301287574e-05,-31.349058151245117
43,154,6757,936,,,38.95714569091797,-5.103188514709473,3756,0.6820341348648071,9.932329931080574e-05,-30.689289093017578
44,153,6793,940,,,38.488006591796875,-5.14650297164917,3792,0.6795992255210876,9.931970573875788e-05,-30.935537338256836
,,6800,,9.0,-6.540723,47.05948257446289,-5.14324951171875,3799,0.6791266798973083,9.931900700373608e-05,-32.82974624633789
44,153,6829,944,,,52.7317008972168,-5.1485395431518555,3828,0.6771723031997681,9.931611229672745e-05,-31.002056121826172
44,152,6865,948,,,55.35226821899414,-5.20687198638916,3864,0.6747527718544006,9.931251898470974e-05,-31.357810974121094
,,6900,,9.0,-7.157444,46.049888610839844,-5.275951385498047,3899,0.672412633895874,9.930902561155596e-05,-32.398380279541016
45,152,6901,952,,,47.58544921875,-5.269773006439209,3900,0.6723458170890808,9.930892580270005e-05,-32.19635009765625
45,151,6937,956,,,60.18927001953125,-5.269070625305176,3936,0.6699446439743042,9.930533275069368e-05,-30.28842544555664
45,151,6973,960,,,53.4596061706543,-5.311023235321045,3972,0.6675527691841125,9.930173982868593e-05,-32.12303924560547
,,7000,,9.0,-6.539752099999999,50.903724670410156,-5.409986972808838,3999,0.6657649874687195,9.929904522248888e-05,-31.693965911865234
46,150,7009,964,,,62.22831726074219,-5.410613536834717,4008,0.6651703715324402,9.929814703667209e-05,-31.798717498779297
46,150,7045,968,,,48.00495910644531,-5.422505855560303,4044,0.6627964377403259,9.929455437464745e-05,-31.387489318847656
47,150,7081,972,,,44.1956672668457,-5.5238189697265625,4080,0.6604295969009399,9.929096184260732e-05,-29.866350173950195
,,7100,,9.0,-7.367590399999999,45.143070220947266,-5.528351783752441,4099,0.6591852307319641,9.9289065836434e-05,-31.240291595458984
47,149,7117,976,,,56.13526153564453,-5.584623336791992,4116,0.6580737829208374,9.928736944054699e-05,-30.938783645629883
47,149,7153,980,,,39.84042739868164,-5.552460670471191,4152,0.6557227969169617,9.928377716846175e-05,-31.195743560791016
48,149,7189,984,,,39.03507614135742,-5.630342483520508,4188,0.6533831357955933,9.928018502634692e-05,-30.39301109313965
,,7200,,8.2,-5.1380478,43.990333557128906,-5.669646263122559,4199,0.6526684761047363,9.927908745329054e-05,-29.99899673461914
48,148,7225,988,,,27.900043487548828,-5.720733642578125,4224,0.651049792766571,9.927659301419778e-05,-30.561275482177734
48,148,7261,992,,,42.31143569946289,-5.727896690368652,4260,0.6487267017364502,9.927300113200963e-05,-30.91376495361328
49,148,7297,996,,,37.10700225830078,-5.796423435211182,4296,0.6464127898216248,9.926940937977777e-05,-30.833759307861328
,,7300,,8.2,-4.530915,39.40313720703125,-5.813505172729492,4299,0.6462202668190002,9.926911007295772e-05,-30.375308990478516
49,147,7325,1000,,,58.321678161621094,-5.806600570678711,4324,0.6446162462234497,9.926661588455185e-05,-30.098777770996094
